text,label,notes
"this movie scared me so bad, i am easily scared though so its no big thing but this movie was scary and whoever wasnt scared by this movie, im surprised because everyone i know said it was scary, i hope everyone sees it, but dont see it with the lights off like i did....",positive,
"I am from Sweden and i have just seen this movie and the thing is that i thought it was okay. I have seen many bad comments about it but you must remember that a lot of people that watch this two parts miniseries are located all over the world and not just in USA. Also remember that not everyone has ever heard of the film made in the 60:s and maybe not in the events(murders). And even more...that it can be hard to find the original movie and if so there always be people around that doesn't like black/white films. This one feels fresh and in color and will find its public. Its 12 years old now but i just saw it for the first time. I will try to find the first one if i can to compare them but i haven't seen it anywhere in Sweden. Ofcorse there is internet but not for anyone in the world. The thing here is that this is mostly part of an American crime-history and was big in the 50-60:s in just USA but in rest of the world it just past by i guess. Well it was told about for some time but 40 years later it will fade away in for example Europa cause time goes by. We had our own problems and crimes so if someone will do a remake of the film and put it back in some light again its not a bad idea at all. A new generation can take part of this horrible story and even the film about Capote that was released just a few years ago witch was a pretty good film too i think. It will boost interest to the events that took place some 50 years ago and maybe stop it to fall in sleep. It started me up and now i am looking for the Robert Blake-version so it wasn't that bad...huh? This are my opinions. Some people will of course disagree but hey...its okay. Sometimes there will be okay with remakes on old films. Its not every time the old ones are that good. The film-making techniques has developed a lot and scenes can be made more realistic if they want today. Its always a question of money of course. There has been so many movies that were made in the ""good old days"" but there were also money missing, bad directors etc, and they remakes them today (50 years later) and suddenly they are okay to watch. My friend got this box of old classic horror-movies and s/f and i cant say i was impressed of the so called good old days. Most of them you cold put in the trashcan directly. They were so bad that we just sat there like zombies...could not move...like brain-dead. I cant recommend them to anyone. Some of them i have seen remakes of and i remember liking them...but not the originals. They were just painful awful. This is like the old story of who was the best Bond...Moore or Connery...I think if you see Roger Moore first you maybe find him the one to trust or like... Thanks for me and i am sorry for my English, thats not so good. /Lars from Sweden",positive,
"Simply, one of the funiest movies i've ever seen. It's a parody of crime-life, parody of everything that represents the Chicago 1930.- There is no realy need to underestimate this movie because rating is under 5. Its a opinion of a mass, and mass is hypnotized. Who decide to watch it - it will regret, Who decide not to watch it - will regret more.",positive,
"I disliked Frosty returns and this one. Both of the films are absurd with poorly written characters and bad voices. The voices could have been done but Frosty returns was worst than this because of the unalike snowman they drew. Frosty's winterwonder land was great and so was the original heartwarming Drama. The only good thing about this film was Frosty the snowman was alike of the classic 60s and a funny line like when they were talking about things that are not real and then Frosty walks by the window humming, whistling whatever he was doing but everything else was badly written and badly animated and I barely got the plot. I saw the DVD cover at the library about 2 or 3 years ago and the art looked crappy so I didn't pick it up until this year because the pictures on the back looked a little touching but I played this film. It was a hassle poorly art characters just like the DVD and it was just terrible about what's going on. I watched this at night and found it dull that I fell asleep on the whole thing (Wait I always do that when I watch something while I go to sleep) But this movie was overall boring<br /><br />Overall rating: Grade -C<br /><br />This is like another holiday special bad rip-off in the frosty returns and this one. This one is the badly 4th sequel like Home alone 4 well i thought that movie was OK but home alone 3 was great. But it's like a bad home alone 3 and 4 people hate like this. My sister didn't watch it that much because when she came into my room to watch 2 minutes and a half of it, she walked away like ""I hate the animation!"" I agree to her just like the 3rd one Frosty returns. Plain awful!",negative,
"Ride With the Devil has something rich and special, if you can stand the slow development. While tackling a dark, gritty subject, the brutal guerrilla war in the American West during its Civil War (which in turned spawned the outlaws of the old west of the 1870s), the movie maintains a strangely satisfying, unmanipulated atmosphere. What I'm refering to is the tendency of films' music and lighting to make you feel the mood you'd expect to feel. But RWTD instead has a relatively upbeat soundtrack, and lets the words and action do the talking set the mood rather than manipulation of the viewer's senses.<br /><br />As an enthusast of this particular area of CW history, I'm greatly impressed with the accuracy of the film. The diologue is expertly written, (even with subtle humor occasionally) with references to bushwhackers and previous boarder battles (Independence for example...A far cry from the Oregon Trail!). The minor events that occur to Jake's band are similar to actual events that took place...Especially the attack when they're holed up in the house, and the destruction of the store/booth. The battle scenes, though rare, are pretty well executed. It even has the first CW cavalry battle put on film recently.<br /><br />The directing shows the talent everyone expects of Ang Lee in subtle ways. Example: The character of Black John is shown taunting a Lawrence resident during the massacre: ""Where's your army? Who are we to fight!? Who are we to fight?! (The shot then switches to a trio of Confederate Regulars standing, doing nothing to stop the carnage while the voice continues) You are cowards all!"" Who are the cowards, really? Little touches like that really enhance the movie's quality.<br /><br />There are no major glaring areas in the history, something that can not be said of the masterpiece of film Glory, which was basically fiction within the context of the major events it follows. Some minor problems include the fact that the years as shown by the events represented don't add up. But you will never notice that. A larger curiosity is the fact that the only African-American man-at-arms character in the film is the quasi-slave fighting for Jake and his Confederate bushwhackers. It is true that some blacks did fight for the Confederacy out there, including one who scouted Lawrence for Quantrill before the attack (Who would suspect him?). Though this black rebel is a fasinating character (whatever PC African-Americans might think of him), not a single black Union infantryman is seen in the film, which would have been more represenative of the black experience in the Western CW. One of the first black regiments of the CW was raised in Kansas (by the murderer Senator Jim Lane, and before the 54th Mass. Reg. of fame was organized), and black troops in such battles as Baxter Springs, KS, played a critical role.<br /><br />No glaring historical errors. Good, realistic action, which is infrequent and not gratitous. Good Directing. This film may not be the blockbusters other recent Civil War were, but it's the cleanest job of any.",positive,
"I went to see this movie twice within a week and can only sum it up in one word (which I normally don't use lightly): Wonderful! In my view, the best movie ever made. Who deserves Oscars and other awards if not this Swedish crew who have created cinematic perfection in the last scenes of the film, when everything that is said (and left unsaid) throughout the story is drawn together? Just as the character of Daniel Dareus evokes so many sentiments and long repressed feelings within the people around him, the movie does the same to its viewers: You walk out with your head abuzz and your heart feeling full. Great stuff! Next time you ask yourself ""what is the meaning of life"", perhaps think about how you feel after a sumptuous experience like As it is in Heaven: Happy, content, fulfilled. To say it with Virginia Woolf's Mrs Dalloway: ""Such moments are enough"".",positive,
"Otto Preminger's Dana Andrews cycle of films noirs are among the (largely) unsung jewels of the genre. Because they lack paranoia, misogyny or hysteria, they may have seemed out of place at the time, but the clear-eyed imagery, the complex play with identity, masculinity and representation, the subversion of traditional psychological tenets, the austere, geometrical style all seem startlingly modern today, and very similar to Melville. The lucid ironies of this film are so loaded, brutal and ironic that the 'happy' ending is one of the cruellest in Hollywood history. Brilliant on the level of entertaining thriller as well, tense, and packed with double-edged dialogue.",positive,
"I caught this film on AZN on cable. It sounded like it would be a good film, a Japanese ""Green Card"". I can't say I've ever disliked an Asian film, quite the contrary. Some of the most incredible horror films of all time are Japanese and Korean, and I am a HUGE fan of John Woo's Hong Kong films. I an not adverse to a light hearted films, like Tampopo or Chung King Express (two of my favourites), so I thought I would like this. Well, I would rather slit my wrists and drink my own blood than watch this laborious, badly acted film ever again.<br /><br />I think the director Steven Okazaki must have spiked the water with Quaalude, because no one in this film had a personality. And when any of the characters DID try to act, as opposed to mumbling a line or two, their performance came across as forced and incredibly fake. I honestly did not think that anyone had ever acted before...the ONLY person who sounded genuine was Brenda Aoki.. I find it amazing that this is promoted as a comedy, because I didn't laugh once. Even MORE surprising is that CBS morning news called this ""a refreshing breath of comedy"". It was neither refreshing, nor a breath of comedy. And the ending was very predictable, the previous reviewer must be an idiot to think such things.<br /><br />AVOID this film unless you want to see a boring predictable plot line and wooden acting. I actually think that ""Spike of Bensonhurst"" is a better acted film than this...and I walked out half way through that film!",negative,
"The first episode set the bar quite high i thought. It starred William Hurt as a hit-man who is contracted to kill a toymaker. We are given very little information on his character or who is paying him to kill, indeed the episode is notable for having no dialogue at all. Returning to his modernist penthouse he is delivered a package containing toy soldiers, this gives him a smile but he dismisses it and goes about his business. But he is in for a night of hell, the soldiers are alive and are about to wage war, driving jeeps, shooting machine guns and bazookas and even flying helicopters!. The special effects are good for a TV show and it becomes quite tense as he dodges around the apartment using his wits to survive, sometimes getting the upper hand and other times not. I wont spoil the ending but suffice to say it was a clever little twist. This gave me hope for the rest of the series but i was in for a disappointment, the other episodes were all rubbish and i lost interest by the fourth one. Stephen King adaptations are always a mixed bag and these are no exception",negative,
"It's been quite some time since I've watched this LOTR. I am currently hunting for a copy to purchase. Bakshi's work is quite true to the original work. The visuals are engrosing and sometimes haunting.<br /><br />Drawbacks? Occasionally, the movie is confusing or muddled. There are one or two times where the storyline slows to a crawl. But, overall -- buy this movie. It's great for kids, adults and collectors.",positive,
